cities,state,country,lat,long,image
Chicago,Illinois,USA,41.83694,-87.68472,"https://en.wikipedia.org/wiki/Chicago#/media/File:20090524_Buildings_along_Chicago_River_line_the_south_border_of_the_Near_North_Side_and_Streeterville_and_the_north_border_of_Chicago_Loop,_Lakeshore_East_and_Illinois_Center.jpg"
Austin,Texas,USA,30.267,-97.733,"https://en.wikipedia.org/wiki/Austin,_Texas#/media/File:Skyline_of_Austin.jpg"
Boston,Massachusetts,USA,42.35806,-71.06361,https://en.wikipedia.org/wiki/Boston#/media/File:Boston_skyline_from_Cambridge_November_2015_panorama_1.jpg
San Francisco,California,USA,37.783,-122.417,https://en.wikipedia.org/wiki/San_Francisco#/media/File:Sf_twinpeaks_sunset.jpg
Miami,Florida,USA,25.77528,-80.20889,https://en.wikipedia.org/wiki/Miami#/media/File:Downtown_Miami_Panorama_from_the_Rusty_Pelican_photo_D_Ramey_Logan.jpg
New York City,New York,USA,40.7127,-74.0059,https://en.wikipedia.org/wiki/New_York_City#/media/File:Brooklyn_Skyline_(9910358874).jpg
